multi(Pmax=? [ F pc=-1 ], R{"defaultControllerUsed"}max=? [ C ]):
3	0.05222065557471741
4	0.03854712915000973
5	0.007780957952276863
6	0.0017353486493220602
7	7.281726105529404E-4
8	4.1771546821779037E-4
9	1.3989314628039747E-4
10	4.418209953602888E-5
11	2.1052309776008374E-5
12	3.2605673669791694E-5
13	4.749425439809216E-5
14	6.437953120631833E-5
15	8.243239824284837E-5
16	1.0099594320026575E-4
17	1.202182614074257E-4
18	1.4039153469730197E-4
19	1.6203718575186787E-4
20	1.8567484493291393E-4
21	2.1183180706745662E-4
22	2.4101617885826236E-4
23	2.737507266823034E-4
24	3.1058384074300437E-4
25	3.5210799840502694E-4
26	3.9897376689120695E-4
27	4.5190490410940305E-4
28	5.117119484130372E-4
29	5.793064693189684E-4
30	6.557160974527231E-4

Pmax=? [ pc!=-2 U<=N false ]:
N	Result
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	0.0
27	0.0
28	0.0
29	0.0
30	0.0

Pmin=? [ pc>0 U k=N ]:
N	Result
1	1.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	0.0
27	0.0
28	0.0
29	0.0
30	0.0
